,angle_deg,freq_THz,trans
1124,10.4211,241.0,0.1983
856,10.4211,242.0,0.2111
1251,10.4211,243.0,0.222
1135,10.4211,244.0,0.2303
1220,10.4211,245.0,0.2352
838,10.4211,246.0,0.2365
671,10.4211,247.0,0.2339
682,10.4211,248.0,0.2275
858,10.4211,249.0,0.2175
859,10.4211,250.0,0.2044
666,10.4211,251.0,0.1888
944,10.4211,252.0,0.1714
594,10.4211,253.0,0.1528
130,10.4211,254.0,0.1339
518,10.4211,255.0,0.1153
1103,10.4211,256.0,0.0976
717,10.4211,257.0,0.0814
1073,10.4211,258.0,0.0672
864,10.4211,259.0,0.0551
965,10.4211,260.0,0.0454
761,10.4211,261.0,0.038
1209,10.4211,262.0,0.033
8,10.4211,263.0,0.0303
632,10.4211,264.0,0.0295
1393,10.4211,265.0,0.0306
167,10.4211,266.0,0.0332
977,10.4211,267.0,0.0372
142,10.4211,268.0,0.0424
124,10.4211,269.0,0.0486
398,10.4211,270.0,0.0557
1315,10.4211,271.0,0.0635
711,10.4211,272.0,0.0719
1102,10.4211,273.0,0.0809
48,10.4211,274.0,0.0902
1255,10.4211,275.0,0.0999
246,10.4211,276.0,0.1097
706,10.4211,277.0,0.1195
173,10.4211,278.0,0.1289
991,10.4211,279.0,0.1378
263,10.4211,280.0,0.1458
351,10.4211,281.0,0.1525
1304,10.4211,282.0,0.1578
670,10.4211,283.0,0.1612
675,10.4211,284.0,0.1625
855,10.4211,285.0,0.1616
138,10.4211,286.0,0.1584
437,10.4211,287.0,0.1528
106,10.4211,288.0,0.145
118,10.4211,289.0,0.1352
536,10.4211,290.0,0.1237
1132,11.3684,220.0,0.6275
880,11.3684,221.0,0.5897
1159,11.3684,222.0,0.5484
868,11.3684,223.0,0.5044
1020,11.3684,224.0,0.4587
420,11.3684,225.0,0.4126
565,11.3684,226.0,0.3672
462,11.3684,227.0,0.3238
1184,11.3684,228.0,0.2836
1143,11.3684,229.0,0.2477
1112,11.3684,230.0,0.2172
1075,11.3684,231.0,0.1926
